category,asd,cardiac,or_raw,p_two_sided,or_haldane,ci_lo,ci_hi,asd_rate_per_residue,cardiac_rate_per_residue,status
ANK_repeats,6,0,inf,0.014086687306501547,inf,1.0505284828960284,479.9552032899519,0.007566204287515763,0.0,tested
ZU5,4,1,4.571428571428571,0.3188854489164087,4.571428571428571,0.4194495924126349,27.55992664936914,0.011869436201780416,0.002967359050445104,tested
UPA,1,1,0.8,1.0,0.8,0.07075649385005967,9.26174775667447,0.007407407407407408,0.007407407407407408,tested
Death_domain,0,0,,,,,,,,none
Repeat_rich,0,0,,,,,,,,none
Disordered,0,2,0.0,0.18947368421052632,0.0,0.005463888468236774,3.1137591136936145,0.0,0.0011968880909634949,tested
Other,0,0,,,,,,,,none
Unassigned,0,5,0.0,0.008126934984520124,0.0,0.0016130768735820227,0.7844927090790246,,,tested
